name,description,stars,install_command,verified,repo_url,screenshots
PicGo,":rocket: The Ultimate Image Uploader for Efficient Creators. Supports Obsidian, Typora, VS Code etc. and 60+ image hosting services (S3, GitHub, Cloudflare R2, Imgur, Aliyun OSS...). Paste, upload, done.",27024,dsh plugin --profile web add @picgo/dsh-plugin,true,https://github.com/Molunerfinn/PicGo,https://raw.githubusercontent.com/Molunerfinn/PicGo/HEAD/chart.png;https://raw.githubusercontent.com/Molunerfinn/PicGo/dev/assets/picgo-v3.gif;https://user-images.githubusercontent.com/12621342/34242310-b5056510-e655-11e7-8568-60ffd4f71910.gif;https://user-images.githubusercontent.com/12621342/34188165-e7cdf372-e56f-11e7-8732-1338c88b9bb7.jpg
dsh-web,"Add a task board, git graph, and mobile remote UI",5826,dsh plugin --profile web add @linxin666/dsh-web-all@latest,true,https://github.com/zhu1090093659/dsh-web,https://repository-images.githubusercontent.com/1331636953/a9d6eb6e-7196-4656-b5ec-426e87042c28;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/13-hero-main.png;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/31-market-home.png;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/09-task-board.png
modlens,Paste an image and get structured evidence back,3575,dsh plugin --profile web add @liustack/modlens@3.24.1,true,https://github.com/liustack/modlens,https://repository-images.githubusercontent.com/1163808211/158719db-2ed8-4e7d-92ae-a3d9fc62a9d2;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-dsh-settings-card.jpg;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-dsh-paste.jpg;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-codex-app.jpg
ReMe,"ReMe: Memory Management Kit for Agents - Remember Me, Refine Me.",3339,dsh plugin --profile web add @agentscope-ai/reme,true,https://github.com/agentscope-ai/ReMe,https://raw.githubusercontent.com/agentscope-ai/ReMe/HEAD/docs/figure/reme_logo.png;https://raw.githubusercontent.com/agentscope-ai/ReMe/HEAD/docs/figure/design-philosophy.svg;https://raw.githubusercontent.com/agentscope-ai/ReMe/HEAD/docs/figure/reme-overview.svg;https://raw.githubusercontent.com/agentscope-ai/ReMe/HEAD/docs/figure/memory-as-file.svg
DSH-better-sidebar,Get an open sidebar foundation other plugins can register into,2765,dsh plugin --profile web add dsh-better-sidebar@latest,true,https://github.com/omdsh-dev/DSH-better-sidebar,https://github.com/user-attachments/assets/dfdb875e-a1a8-4d4b-8340-353736b1708f;https://github.com/user-attachments/assets/a410bfd2-a8ba-43e6-873e-22417756e94d;https://github.com/user-attachments/assets/fe0e5182-55bb-45cc-b98b-a2877c2bdd38;https://github.com/user-attachments/assets/b44b488e-568c-4ee0-b96c-e9c906598a77
memsearch,"A persistent, unified memory layer for all your AI agents (e.g. Claude Code, Codex), backed by Markdown and Milvus.",2495,dsh plugin --profile web add @zilliz/memsearch-dsh,true,https://github.com/zilliztech/memsearch,https://raw.githubusercontent.com/zilliztech/claude-context/master/assets/signup_and_get_apikey.png;https://raw.githubusercontent.com/zilliztech/memsearch/HEAD/assets/logo-icon.jpg;https://github.com/user-attachments/assets/427b7152-bc16-408c-a8b0-59a2b05fd1e0;https://github.com/user-attachments/assets/39a90f1c-54e3-4c7a-b168-051f0e096d39
dsh-TUI,Run DSH in a Claude Code style terminal UI,2413,dsh plugin --profile dsh-tui add @deepseek-harness-tui/dsh-tui,true,https://github.com/ccch1mneyyy/dsh-TUI,https://repository-images.githubusercontent.com/1333111893/38962da2-0233-4075-9b4a-5d409d73048b;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/HEAD/screenshots/splash.png;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/HEAD/screenshots/working-line.png;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/bot-star-history/assets/star-history/star-history.png
dsh-market,Browse and install plugins without leaving the app,2089,dsh plugin --profile web add dshmarket,true,https://github.com/dsh-market/dsh-market,https://repository-images.githubusercontent.com/1333807290/51c9f9f8-c50f-4ee6-b6b2-530eef08cb16;https://raw.githubusercontent.com/dsh-market/dsh-market/HEAD/assets/demo-en.png;https://raw.githubusercontent.com/dsh-market/dsh-market/HEAD/assets/logo.svg
dsh-deep-whale,Whale Girl skin series for DeepSeek Harness. 适用于 DeepSeek Harness 的，鲸鱼娘系列皮肤。,1650,dsh plugin --profile web add 'github:Small-tailqwq/dsh-deep-whale#path:/skin-manager'; dsh plugin --profile web add 'github:Small-tailqwq/dsh-deep-whale#path:/maid-atelier'; dsh plugin --profile web add 'github:Small-tailqwq/dsh-deep-whale#path:/orca-link',true,https://github.com/Small-tailqwq/dsh-deep-whale,https://repository-images.githubusercontent.com/1333123776/0b67ebbf-2fbf-4584-91df-aa51d41e19fd;https://raw.githubusercontent.com/Small-tailqwq/dsh-deep-whale/HEAD/maid-atelier/preview/light.webp;https://raw.githubusercontent.com/Small-tailqwq/dsh-deep-whale/HEAD/maid-atelier/preview/dark.webp;https://raw.githubusercontent.com/Small-tailqwq/dsh-deep-whale/HEAD/orca-link/preview/light.png
Browser4,"Browser4 — an AI-native browser engine for autonomous agents, intelligent extraction, and large-scale web automation.",1111,dsh plugin --profile web add github:platonai/dsh-browser4,true,https://github.com/platonai/Browser4,https://github.com/user-attachments/assets/c15fe635-0e9f-4ac2-b038-abec6bd6bbe4
dsh-context,See exactly what your context window is made of,977,dsh plugin --profile web add dsh-context,true,https://github.com/bowenliang123/dsh-context,https://repository-images.githubusercontent.com/1333961389/f94ffc85-2564-4456-8a86-856986fef80e;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/social-preview.png;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/context-overview.png;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/context-command-entry.png
dsh-vision-router,"Use a free, keyless vision route plus pixel tools",953,dsh plugin --profile web add dsh-vision-router,true,https://github.com/ysr666/dsh-vision-router,https://raw.githubusercontent.com/ysr666/dsh-vision-router/main/assets/pixel-loop.png;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/hero.svg;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/vision-demo.gif;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/dsh-conversation-image-qa.png
dsh-agent-teams,Dispatch work across a team of agents,931,dsh plugin --profile web add @nanmicoder/dsh-agent-teams,true,https://github.com/NanmiCoder/dsh-agent-teams,https://raw.githubusercontent.com/NanmiCoder/dsh-agent-teams/HEAD/assets/readme/hero.svg;https://raw.githubusercontent.com/NanmiCoder/dsh-agent-teams/HEAD/assets/ui.png
dsh-vision-toolkit,Ask questions about a pasted screenshot,819,dsh plugin --profile web add @anionex/dsh-vision-toolkit,true,https://github.com/Anionex/dsh-vision-toolkit,https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/hero-v2.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/logo_aihubmix.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/dsh-view-example.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/upstream/infographic-reference.webp
api-relay-audit,Audit your API relay for prompt injection and worse,802,dsh plugin --profile web add github:toby-bridges/api-relay-audit#v2.4.0,true,https://github.com/toby-bridges/api-relay-audit,https://repository-images.githubusercontent.com/1195794651/1012082e-04ae-47c9-b052-6624d9b6ad4e;https://raw.githubusercontent.com/toby-bridges/api-relay-audit/HEAD/assets/readme-banner.png
DeepSeek-Balance-Whale-Widget,DeepSeek Harness（DSH）一只住在 DSH 界面右下角的小鲸鱼娘，帮你盯着DeepSeek账户余额。QQ弹弹，支持拖拽吸附、左吸附翻转、数字滚动动画，随界面自动启用，建议直接喊来你的dsh安装,777,dsh plugin --profile web add link:D:\你的路径\DeepSeek-Balance-Whale-Widget,true,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget,https://repository-images.githubusercontent.com/1337920628/e6acd957-9e35-4b7e-8158-383cc43d7ab3;https://raw.githubusercontent.com/MeteorNOX/DeepSeek-Balance-Whale-Widget/HEAD/assets/DSH2.png
dsh-im,Connect nine chat platforms to DSH at once,731,dsh plugin --profile web add -w @xmanrui/dsh-im,true,https://github.com/xmanrui/dsh-im,https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/docs/images/imbot.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/assets/logo-dsh-im-connecting-readme-3x2.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/assets/logo-plugin-phone.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/docs/images/weixin.jpg
dsh-pocket,Scan a QR code to reach your desktop DSH from your phone,559,dsh plugin --profile web add dsh-pocket -w,true,https://github.com/shaobeichen/dsh-pocket,https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/banner.jpg;https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/interface.jpg;https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/entry.jpg
dsh-ads,"把 DSH 变成 2005 年门户网站｜Parody ads, fake games, and popups for the DSH Web UI",556,dsh plugin --profile web add github:Nagi-ovo/dsh-ads,true,https://github.com/Nagi-ovo/dsh-ads,https://repository-images.githubusercontent.com/1329113397/8ec65658-244d-48d1-bbf7-efe1c16b8cb6;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/social-preview.jpg;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/screenshot.webp;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/reward-gate.png
mnemon,"LLM-supervised persistent memory for AI agents — graph-based recall, cross-session knowledge, single binary. Works with DeepSeek Harness, Claude Code, OpenClaw, and any agent runtime.",516,dsh plugin --profile web add github:mnemon-dev/mnemon,true,https://github.com/mnemon-dev/mnemon,https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/logo/logo.svg;https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/diagrams/llm-supervised-concept.jpg;https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/diagrams/10-knowledge-graph.jpg
dsh-at-file,Attach a workspace file to your prompt by searching for it,465,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-at-file/archive/refs/tags/v0.6.8.tar.gz,true,https://github.com/FSMargoo/dsh-at-file,https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/workspace-path-picker.png;https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/file-mention-composer.png;https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/file-mention-settings.png
agentguard,"Security guard for AI agents — blocks malicious skills, prevents data leaks, protects secrets. 24 detection rules, runtime action evaluation, trust registry.",458,dsh plugin --profile web add @goplus/agentguard,true,https://github.com/GoPlusSecurity/agentguard,https://raw.githubusercontent.com/GoPlusSecurity/agentguard/HEAD/assets/logo.png
AI-Novel-Writer,AI 小说创作软件：把灵感、角色、世界观、大纲、章节写作、审稿和修稿组织成可控流程；提供 Windows/macOS 桌面版、Ollama 与 DSH 插件预览。,439,dsh plugin --profile web add @ethanyoq/dsh-ai-novel-writer,true,https://github.com/EthanYoQ/AI-Novel-Writer,https://repository-images.githubusercontent.com/1275436512/6f351e0c-18b8-48fa-9743-62aec219a579;https://raw.githubusercontent.com/EthanYoQ/AI-Novel-Writer/HEAD/docs/assets/readme/ui-zh-v085-project-config.png;https://raw.githubusercontent.com/EthanYoQ/AI-Novel-Writer/HEAD/docs/assets/readme/ai-novel-writer-logo-transparent.png
dsh-pet,Install a desktop pet in one line,380,dsh plugin --profile web add dsh-pet,true,https://github.com/PC2005-cloud/dsh-pet,https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-1.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-2.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-3.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-4.png
DSH-Transparent-UI-Plugin,Turn the whole interface into frosted glass,373,dsh plugin --profile web add dsh-client-ui-aqua,true,https://github.com/WYH66666666/DSH-Transparent-UI-Plugin,https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/1.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/2.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/3.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/4.png
harmony-next.skills,Get expert guidance for HarmonyOS NEXT development,337,dsh plugin --profile demo add github:linhay/harmony-next.skills,true,https://github.com/linhay/harmony-next.skills,
dsh-genui,Get interactive UI components inline in replies,316,dsh plugin --profile web add git+https://github.com/omdsh-dev/dsh-genui.git,true,https://github.com/omdsh-dev/dsh-genui,https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/demo-thumb.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase-panel.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase-plot.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase.png
whale-girl,DSH Web GUI 桌面宠物插件（QQ 宠物形态）：右下角悬浮、可拖拽/投喂/玩耍的积累型伙伴。,276,"dsh plugin --profile web add ""github:vlln/whale-girl#main""",true,https://github.com/vlln/whale-girl,https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/idle.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/working.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/celebrate.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/error.gif
dsh-plugin-subscriptions,"Use a ChatGPT, Claude, or X Premium subscription as a DSH provider",258,dsh plugin --profile web add dsh-plugin-subscriptions,true,https://github.com/V1ki/dsh-plugin-subscriptions,https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/subscriptions.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/model-picker.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/model-effort.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/speed-toggle.png
pilot-harness,"Pilot Harness — a CodePilot-inspired desktop client and plugin suite for DeepSeek Harness on macOS, Windows, and Linux.",252,dsh plugin --profile web add https://github.com/op7418/pilot-harness/releases/latest/download/deepseek-ai-dsh-ui-worktree-0.1.0-rc.5.tgz,true,https://github.com/op7418/pilot-harness,https://raw.githubusercontent.com/op7418/pilot-harness/HEAD/apps/desktop/assets/brand-icon.png
dsh-dafeiyu,"Desktop-native BigFish companion for DeepSeek Harness — real Agent status, always on top on Windows.",249,dsh plugin --profile web add dsh-dafeiyu,true,https://github.com/QCYTSN/dsh-dafeiyu,https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/dsh-bigfish-running.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-thinking.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-working.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-waiting.png
modsearch,Ask the web or X and get structured evidence back,241,dsh plugin --profile web add @liustack/modsearch@5.9.0,true,https://github.com/liustack/modsearch,https://repository-images.githubusercontent.com/1163808542/97e130e2-e90f-4351-bb8c-746cf55e7c4d;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-codex-fetch.png;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-codex-search.png;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-dsh-web-search.png
plur,Shared memory for AI agents,241,dsh plugin add @plur-ai/dsh,true,https://github.com/plur-ai/plur,https://raw.githubusercontent.com/plur-ai/plur/HEAD/assets/plur-banner.png
dsh-memory-evolve,Let your agent write and manage its own skills between sessions,235,dsh plugin --profile web add github:csyangwen/dsh-memory-evolve,true,https://github.com/csyangwen/dsh-memory-evolve,
anysearch-dsh,Add a multi-provider web search backend,232,dsh plugin --profile web add @anysearch/anysearch-dsh,true,https://github.com/anysearch-team/anysearch-dsh,https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/anysearch-logo.svg;https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/wechat-community-qr.jpg;https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/discord-community-qr.png
dsh-pentest,Switch DSH into a penetration-testing mode,231,dsh plugin --profile web add https://github.com/howmp/dsh-pentest/releases/latest/download/dsh-pentest.tar.gz,true,https://github.com/howmp/dsh-pentest,https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/mode.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/chat.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/flow.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/vuln.png
dsh-ios,"DeepSeek Harness (DSH) plugin: a live iOS Simulator — and a USB-connected iPhone — inside the conversation. 22 agent tools for booting, building, driving the UI by accessibility identity, OCR text or list rows, plus a streaming sidebar panel you can tap and drag on.",231,dsh plugin --profile web add @zseven-w/dsh-ios@latest,true,https://github.com/ZSeven-W/dsh-ios,https://raw.githubusercontent.com/ZSeven-W/dsh-ios/HEAD/docs/images/dsh-ios-logo.png;https://raw.githubusercontent.com/ZSeven-W/dsh-ios/HEAD/docs/images/dsh-ios-overview.png
dsh-visualize,Turn model output into visualization cards,208,dsh plugin --profile web add github:Nagi-ovo/dsh-visualize,true,https://github.com/Nagi-ovo/dsh-visualize,https://repository-images.githubusercontent.com/1333132287/c1b54861-fe50-44d1-a5bf-71e8746882c4;https://raw.githubusercontent.com/Nagi-ovo/dsh-visualize/HEAD/assets/social-preview.jpg;https://raw.githubusercontent.com/Nagi-ovo/dsh-visualize/HEAD/assets/demo.webp
dsh-synapse,Explore a conversation as a branching canvas,192,dsh plugin --profile web add github:liangmianya/dsh-synapse,true,https://github.com/liangmianya/dsh-synapse,https://raw.githubusercontent.com/liangmianya/dsh-synapse/HEAD/docs/images/synapse-ui.png;https://raw.githubusercontent.com/liangmianya/dsh-synapse/HEAD/docs/images/native-webui.png
